time_seconds,model,fps,cpu_usage_percent,ram_usage_percent,inference_time_ms,objects_visible,people_visible,tracked_ids,unique_ids_seen,target_id,target_name,target_offset_x,target_direction
3.3990118503570557,yolov8n.pt,18.593668680760892,87.5,35.7,41.372060775756836,1,1,[1],1,1.0,person,92.0,Turn RIGHT
3.454861879348755,yolov8n.pt,17.78920849273469,90.6,35.7,41.71466827392578,1,1,[1],1,1.0,person,96.0,Turn RIGHT
3.5117006301879883,yolov8n.pt,17.606776900441186,84.4,35.7,41.70799255371094,1,1,[1],1,1.0,person,98.0,Turn RIGHT
3.568558931350708,yolov8n.pt,17.941934628332856,83.3,35.7,40.56429862976074,1,1,[1],1,1.0,person,103.0,Turn RIGHT
3.6224117279052734,yolov8n.pt,18.0770265144985,97.0,35.7,42.0384407043457,1,1,[1],1,1.0,person,104.0,Turn RIGHT
3.679255723953247,yolov8n.pt,17.913046449254317,88.0,35.7,41.01252555847168,1,1,[1],1,1.0,person,109.0,Turn RIGHT
3.735109329223633,yolov8n.pt,17.6819668813868,87.5,35.7,41.709184646606445,1,1,[1],1,1.0,person,112.0,Turn RIGHT
3.7919538021087646,yolov8n.pt,17.138705578052278,84.4,35.7,43.237924575805664,1,1,[1],1,1.0,person,117.0,Turn RIGHT
3.8498308658599854,yolov8n.pt,17.916336686529547,96.0,35.7,41.161537170410156,1,1,[1],1,1.0,person,135.0,Turn RIGHT
3.9056522846221924,yolov8n.pt,17.8158819156844,87.5,35.7,41.46003723144531,1,1,[1],1,1.0,person,140.0,Turn RIGHT
3.957509994506836,yolov8n.pt,18.621653539811224,83.3,35.7,43.31517219543457,1,1,[1],1,1.0,person,146.0,Turn RIGHT
4.015389442443848,yolov8n.pt,17.58913025245324,90.9,35.7,42.27781295776367,1,1,[1],1,1.0,person,152.0,Turn RIGHT
4.072206258773804,yolov8n.pt,17.913888022824246,88.0,35.7,41.27192497253418,1,1,[1],1,1.0,person,165.0,Turn RIGHT
4.128053665161133,yolov8n.pt,17.20450713931195,97.4,35.7,43.57314109802246,1,1,[1],1,1.0,person,167.0,Turn RIGHT
4.185965299606323,yolov8n.pt,17.84407771864218,90.6,35.7,41.690826416015625,1,1,[1],1,1.0,person,170.0,Turn RIGHT
4.242751121520996,yolov8n.pt,17.378800560191593,83.3,35.7,42.46091842651367,1,1,[1],1,1.0,person,173.0,Turn RIGHT
4.299607038497925,yolov8n.pt,17.232923427106403,87.9,35.7,43.619632720947266,1,1,[1],1,1.0,person,184.0,Turn RIGHT
4.358444690704346,yolov8n.pt,17.52892648331028,93.9,35.7,41.84675216674805,1,1,[1],1,1.0,person,185.0,Turn RIGHT
4.415295600891113,yolov8n.pt,17.478305802343606,90.3,35.7,42.19651222229004,1,1,[1],1,1.0,person,185.0,Turn RIGHT
4.4721410274505615,yolov8n.pt,17.597100087265893,84.0,35.7,42.15645790100098,1,1,[1],1,1.0,person,185.0,Turn RIGHT
